演奏会名,日にち,会場,演奏曲目,指揮,協演,備考
第59回,2013/12/13,渋谷総合文化センター<br>大和田　さくらホール,1．「Missa Mi-mi」(Ockeghem)<br>2．「カウボーイ・ポップ」(信長貴富)<br>3．「水のいのち」(高田三郎)<br>4．「東北の舟歌」(寺嶋陸也),井川弘毅(1)<br>真下洋介(2)<br>清水昭(3)<br>清水敬一(4),小田裕之(3)(4)Pf,<br>""
第60回,2014/12/28,ティアラこうとう大ホール,1．「王様」(池辺晋一郎)<br>2．「私はカメレオン」(木下牧子)<br>3．「やさしい魚」(新実徳英)<br>4．「日本抒情歌曲集」より(林光)<br>5．「INVOCATION」(Debussy)<br>6．「英霊たちの歌」(新実徳英)*男声版初演,直井信吾(1)※<br>真下洋介(2)<br>清水敬一(3)(5)(6)<br>清水昭(4)<br><br>,吉田浩之(5)Ten<br>小田裕之<br>(3)(4)(5)(6)Pf,※1ステージは指揮者体調不良により当該ステージ中止。
第61回,2015/12/11,渋谷総合文化センター<br>大和田　さくらホール,1．「カンティクム・サクルム第1集」(千原英喜)<br>2．「詩篇121番」「Incantation」※(Milhaud)<br>3．「永訣の朝」(西村朗)<br>4．「月に詠ふ」(新実徳英),齊藤諒(1)<br>真下洋介(2)<br>清水昭(3)<br>清水敬一(4),小田裕之(3)Pf,※「Incantantion」は日本初演の可能性あり(演奏記録なし)
第62回,2016/12/17,国立オリンピック記念青少年<br>総合センター　ホール,1．「Cuatro Cantos Penitenciales」(Busto)<br>2．「感傷的な三つの奏鳴曲」※(高嶋みどり)<br>3．「初心のうた」(信長貴富)<br>4．「王孫不帰」(三善晃),山崎和也(1)<br>清水昭(2)<br>真下洋介(3)<br>清水敬一(4),小田裕之(2)(3)(4)Pf<br>村居勲(4)Perc<br>赤坂優(4)Perc,<br>""
第63回,2017/12/15,渋谷総合文化センター<br>大和田　さくらホール,1．「夢の意味」(上田真樹)<br>2．「五つのモノローグ」(信長貴富)<br>3．祈りの歌の巡礼～現代ﾖｰﾛｯﾊﾟ宗教合唱曲選～<br>　「Ubi caritas」(Gjeilo)　「Cantate Domino」(Miskinis)<br>　「Benedicamus Domino」(Penderetcki)<br>　「Ave Maria(Angelus Domini)」(Biebl)<br>4．「回風歌」(松本望),山崎和也(1)<br>清水昭(2)<br>真下洋介(3)<br>清水敬一(4),小田裕之<br>(1)(2)(4)Pf,<br>""
第64回,2018/12/26,ルネこだいら,1．「新しい歌」(信長貴富)<br>2．「ノスタルジア」より(信長貴富)<br>3．「決意」(新実徳英)<br>4．「合唱のためのコンポジション第14番」(間宮芳生),茂木脩弥(1)<br>清水昭(2)<br>真下洋介(3)<br>清水敬一(4),小田裕之(1)(3)Pf<br>加藤恭子(4)Perc,<br>""
第65回,2019/12/6,渋谷総合文化センター<br>大和田　さくらホール,1．「雪明りの路」(多田武彦)<br>2．「うたうべき詩」(信長貴富)<br>3．AKIRA de Nコン<br>　「次元」(三宅悠太)<br>　「君が君に歌う歌」(大島ミチル)<br>　「ポジティブ太郎～いつでも始まり～」(上田真樹)<br>　「僕が僕を見ている」(岩崎太整　横山潤子編)<br>4．「神楽歌2019」(新実徳英),山口剣伸(1)<br>真下洋介(2)<br>清水昭(3)<br>清水敬一(4),小田裕之(2)(3)Pf,<br>""
<br>"",2020/12/11,渋谷総合文化センター<br>大和田　さくらホール,<br>"",<br>"",<br>"",※新型コロナウイルス感染拡大の影響により中止
第66回,2021/12/17,渋谷総合文化センター<br>大和田　さくらホール,1．「すべての人」に、ありがとう<br>　「なぎさの地球」(木下牧子)<br>　「ありがとう」(鈴木輝昭)<br>　「「新しい人」に」(信長貴富)<br>　「主は私の羊飼い　詩篇23」(松下耕)<br>2．信長貴富合唱曲選　和合亮一作詩の作品から<br>　「夜明けから日暮れまで」(信長貴富)<br>　「オンザロード」(信長貴富)<br>　「楽譜を開けば野原に風が吹く」(信長貴富)<br>3．「Messa a Tre Voci」(Lotti)<br>4．「修司の海」(三宅悠太),大江公太(1)<br>真下洋介(2)<br>清水昭(3)<br>清水敬一(4),井川弘毅(1)Pf<br>小田裕之(2)(4)Pf,※「なぎさの地球」は諸事情によりカット
第67回,2022/12/16,渋谷総合文化センター<br>大和田　さくらホール,1．「Elmúlt időkből 」(Bartók Béla)<br>2．「ぼくの村は戦場だった」(信長貴富)<br>3．「三つのよじれ歌」(新美徳英)<br>4．萩原朔太郎の詩による二つの無伴奏男声合唱曲<br>「五月」「いづかたに」(三善晃)<br>5．帰郷 -男声合唱とピアノのための-(三宅悠太)　*男声版初演,海老澤啓(1)<br>清水昭(2)<br>真下洋介(3)<br>清水敬一(4，5),小田裕之(2)(3)(5),<br>""
第68回,2023/12/14,渋谷総合文化センター<br>大和田　さくらホール,1．「蒼穹の星」(木下牧子)<br>2．「回風歌」(松本望)<br>3．「赤い鳥、小鳥」(信長貴富)<br>4．「魂舞ひ」(新美徳英)　※男声版初演,海老澤啓(1)<br>真下洋介(2)<br>清水昭(3)<br>清水敬一(4),小田裕之(2)(3)(4)Pf,<br>""
第69回,2024/12/13,渋谷総合文化センター<br>大和田　さくらホール,1．「五足の靴」(国枝春恵)<br>2．Brucknerの男声合唱曲より(Bruckner)<br>　An dem Feste(WAB59)<br>　Der Abendhimmel(WAB55)(WAB56)<br>　Sternschnuppen(WAB85)<br>　Zur Vermaehlungsfeier(WAB54)　<br>3．「瞬間の輝き」(松本望)<br>4．「音楽家の友への五つの詩」(信長貴富),海老澤啓(1)<br>真下洋介(2)<br>清水敬一(3)<br>清水昭(4),井川弘毅(1)Pf<br>小田裕之(3)(4)Pf,<br>""
第70回,2025/12/12,小金井　宮地楽器ホール,1. コンクール報告ステージ<br>　彼岸花/雪と花火(多田武彦)<br>　レモン哀歌/愛のうた-光太郎・千恵子-(新実徳英)<br>2．「Missa Papae Marcelli」(Palestrina)より抜粋<br>3．あらゆる日も夜も(根岸宏輔)<br>4．AKIRA de ポップス<br>　「中央フリーウェイ」(荒井由実)<br>　「楓」(草野正宗)<br>　「さよーならまたいつか！」(米津玄師)<br>5．「紋」(松本望),小野由寛(2)<br>真下洋介(3)<br>清水昭(1)(4)<br>清水敬一(5),小田裕之(1)(3)Pf<br>井川弘毅(1)Pf<br>清水昭(4)Pf<br>篠崎智(4)(5)Perc,<br>""
