演奏会名,日にち,会場,演奏曲目,指揮,協演,備考
第35回,1989/12/20,学習院創立百周年記念会館,1．「縄文土偶」(三善晃)<br>2．NHK全国学校音楽コンクール課題曲から<br>3．「Love ballades collection」(清水昭編曲)<br>4．「夢の分け前」「SymposiumⅡ 諸家論叢第二」(林光),清水敬一(1)<br>田中修二(2)<br>清水昭(3)<br>関屋晋(4),田中瑤子(1)Pf<br>山川今日子(2)Pf<br>秦万里子(3)Pf,<br>""
第36回,1990/12/19,練馬文化センター大ホール,1．「五つのルフラン」(三善晃)<br>2．カラディ地方の歌(コダーイの男声合唱曲から)<br>　「孔雀」「私はみなしご」「カラディ・ノターク」<br>3．「Requiem」(Reger)<br>4．「迷える鳥」(萩京子)*委嘱初演,渡辺茂之(1)<br>清水昭(2)<br>関屋晋(3)(4),<br>"",4の現曲名は「渡り飛ぶ白鳥」
第37回,1991/12/19,学習院創立百周年記念会館,1．ドビュッシー歌曲集より(藤森数彦編曲)<br>2．「感傷的な二つの奏鳴曲」(高嶋みどり)<br>3．「合唱のためのコンポジションⅢ」(間宮芳生)<br>4．「三つの時刻」(三善晃),関屋晋(1)(4)<br>大谷君男(2)<br>清水昭(3),松井洋子(1)(4)Pf<br>小森瑞香(2)Pf,<br>""
第38回,1992/11/27,北とぴあさくらホール,1．「フリューゲルのための三楽章」(橋本剛)<br>2．「わがふるき日のうた」(多田武彦)<br>3．「東洋民謡集Ⅰ」より(池辺晋一郎)<br>4．「遊星ひとつ」(三善晃),橋本剛(1)<br>清水敬一(2)<br>清水昭(3)<br>関屋晋(4),森川光子(1)Pf<br>さがゆき(3)Alt<br>小森瑞香(4)Pf<br>藤田晶(4)Pf<br>いらか会合唱団(4)(賛助出演),<br>""
第39回,1993/11/30,日本都市センターホール,1．「雨のやみかた」(萩原英彦)<br>2．「雪と花火」(多田武彦)<br>3．「15 Magyar Nepdal(15のハンガリー民謡)」(Bartok)<br>4．「真夜中」(木下牧子),西澤晃(1)<br>清水敬一(2)<br>清水昭(3)<br>関屋晋(4),藤田晶(4)Pf,<br>""
第40回,1994/11/16,北とぴあさくらホール,1．フランドルの合唱作品より<br>2．「Quatre petites prières de Saint François d'Assise」(Poulenc)<br>3．「風になる笛」(高嶋みどり)<br>4．「恋のない日」(木下牧子),清水敬一(1)<br>青井一郎(2)<br>清水昭(3)<br>関屋晋(4),小森瑞香(3)Pf,<br>""
第41回,1995/12/4,なかのZERO大ホール,1．ラッススの合唱作品より<br>2．「だれもの探検」(三善晃)<br>3．「王様」(池辺晋一郎)<br>4．「Tarantella」(Carter),滝上真悟(1)<br>清水敬一(2)<br>清水昭(3)<br>関屋晋(4),小森瑞香(4)Pf<br>藤田晶(4)Pf,<br>""
第42回,1996/12/3,なかのZERO大ホール,1．「河童のうた」(湯山昭)<br>2．「あしたうまれる」(新実徳英)<br>3．「5つのスロバキア民謡」(Bartok)<br>4．「ガルーシア・ロルカの5つのシャンソン」(池辺晋一郎),鷲田洋隆(1)<br>清水敬一(2)<br>清水昭(3)<br>関屋晋(4),藤田晶(3)Pf,<br>""
第43回,1997/12/17,府中の森芸術劇場ウイーンホール,1．「白いうた 青いうた」第3集より(新実徳英)<br>2．「美女打見れば」(柴田南雄)<br>3．「Die launige Forelle」(Schoggｌ編曲)<br>4．「空に、樹に…」(新実徳英)*男声版委嘱初演,清水昭(1)(3)<br>清水敬一(2)<br>関屋晋(4),内平麻里(1)(4)Pf<br>望月左之丸(2)<br>小鼓,<br>""
第44回,1998/12/2,三鷹市芸術文化センター風のホール,1．トマス・モーリー　マドリガル選<br>2．「中国古詩による5つの歌」(廣瀬量平)<br>3．「Enfance finie」(木下牧子)<br>4．「Missa a cappella」(Gustafsson),滝上真悟(1)<br>清水敬一(2)<br>清水昭(3)<br>関屋晋(4),藤田晶(4)Pf,<br>""
